year,provider,methodology,flow_type,indicator,value
2014,Austria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,53252276
2014,Austria,Rio Markers,usd_commitment,Adaptation,16382460
2014,Austria,Rio Markers,usd_commitment,Cross-cutting,17185032
2014,Austria,Rio Markers,usd_commitment,Mitigation,30370568
2015,Austria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,64340868
2015,Austria,Rio Markers,usd_commitment,Adaptation,13801938
2015,Austria,Rio Markers,usd_commitment,Cross-cutting,8958890
2015,Austria,Rio Markers,usd_commitment,Mitigation,30870742
2016,Austria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,78369944
2016,Austria,Rio Markers,usd_commitment,Adaptation,9953860
2016,Austria,Rio Markers,usd_commitment,Cross-cutting,34373360
2016,Austria,Rio Markers,usd_commitment,Mitigation,111777500
2017,Austria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,76897370
2017,Austria,Rio Markers,usd_commitment,Adaptation,18890778
2017,Austria,Rio Markers,usd_commitment,Cross-cutting,15252730
2017,Austria,Rio Markers,usd_commitment,Mitigation,43576776
2018,Austria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,73921350
2018,Austria,Rio Markers,usd_commitment,Adaptation,71457600
2018,Austria,Rio Markers,usd_commitment,Cross-cutting,34313356
2018,Austria,Rio Markers,usd_commitment,Mitigation,175753060
2019,Austria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,160196600
2019,Austria,Rio Markers,usd_commitment,Adaptation,24943260
2019,Austria,Rio Markers,usd_commitment,Cross-cutting,53469508
2019,Austria,Rio Markers,usd_commitment,Mitigation,196412430
2020,Austria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,126157220
2020,Austria,Rio Markers,usd_commitment,Adaptation,25806304
2020,Austria,Rio Markers,usd_commitment,Cross-cutting,59082000
2020,Austria,Rio Markers,usd_commitment,Mitigation,129176210
2021,Austria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,129340530
2021,Austria,Rio Markers,usd_commitment,Adaptation,90724840
2021,Austria,Rio Markers,usd_commitment,Cross-cutting,56104856
2021,Austria,Rio Markers,usd_commitment,Mitigation,85753960
2022,Austria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,124657280
2022,Austria,Rio Markers,usd_commitment,Adaptation,19540824
2022,Austria,Rio Markers,usd_commitment,Cross-cutting,51087270
2022,Austria,Rio Markers,usd_commitment,Mitigation,304868100
2014,Azerbaijan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,313645.1
2015,Azerbaijan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,233685.16
2016,Azerbaijan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1643255.5
2017,Azerbaijan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,4079037
2018,Azerbaijan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,7249097.5
2019,Azerbaijan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,4042221.8
2020,Azerbaijan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,844925.5
2020,Azerbaijan,Rio Markers,usd_commitment,Adaptation,7382
2020,Azerbaijan,Rio Markers,usd_commitment,Mitigation,591238
2022,Azerbaijan,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1438103
2012,Belgium,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1881284
2012,Belgium,Rio Markers,usd_commitment,Adaptation,44120936
2012,Belgium,Rio Markers,usd_commitment,Cross-cutting,32322582
2012,Belgium,Rio Markers,usd_commitment,Mitigation,24465090
2013,Belgium,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,101327350
2013,Belgium,Rio Markers,usd_commitment,Adaptation,105987520
2013,Belgium,Rio Markers,usd_commitment,Cross-cutting,95756240
2013,Belgium,Rio Markers,usd_commitment,Mitigation,53728770
2014,Belgium,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,146636780
2014,Belgium,Rio Markers,usd_commitment,Adaptation,102424480
2014,Belgium,Rio Markers,usd_commitment,Cross-cutting,147833100
2014,Belgium,Rio Markers,usd_commitment,Mitigation,98241340
2015,Belgium,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,41211896
2015,Belgium,Rio Markers,usd_commitment,Adaptation,175268220
2015,Belgium,Rio Markers,usd_commitment,Cross-cutting,119074250
2015,Belgium,Rio Markers,usd_commitment,Mitigation,29840264
2016,Belgium,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,70839980
2016,Belgium,Rio Markers,usd_commitment,Adaptation,94636110
2016,Belgium,Rio Markers,usd_commitment,Cross-cutting,112766240
2016,Belgium,Rio Markers,usd_commitment,Mitigation,23998288
2017,Belgium,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,42958524
2017,Belgium,Rio Markers,usd_commitment,Adaptation,136668830
2017,Belgium,Rio Markers,usd_commitment,Cross-cutting,85998560
2017,Belgium,Rio Markers,usd_commitment,Mitigation,130622700
2018,Belgium,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,79062584
2018,Belgium,Rio Markers,usd_commitment,Adaptation,67591896
2018,Belgium,Rio Markers,usd_commitment,Cross-cutting,110828184
2018,Belgium,Rio Markers,usd_commitment,Mitigation,102721670
2019,Belgium,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,136465940
2019,Belgium,Rio Markers,usd_commitment,Adaptation,68639380
2019,Belgium,Rio Markers,usd_commitment,Cross-cutting,242585040
2019,Belgium,Rio Markers,usd_commitment,Mitigation,17270032
2020,Belgium,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,155065200
2020,Belgium,Rio Markers,usd_commitment,Adaptation,100609440
2020,Belgium,Rio Markers,usd_commitment,Cross-cutting,136920860
2020,Belgium,Rio Markers,usd_commitment,Mitigation,66657616
2021,Belgium,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,172114910
2021,Belgium,Rio Markers,usd_commitment,Adaptation,91471780
2021,Belgium,Rio Markers,usd_commitment,Cross-cutting,139397170
2021,Belgium,Rio Markers,usd_commitment,Mitigation,42235664
2022,Belgium,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,184496780
2022,Belgium,Rio Markers,usd_commitment,Adaptation,43316704
2022,Belgium,Rio Markers,usd_commitment,Cross-cutting,148023420
2022,Belgium,Rio Markers,usd_commitment,Mitigation,47149904
2015,Bulgaria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,243876.8
2016,Bulgaria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,2308266.8
2017,Bulgaria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,449775
2018,Bulgaria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,695534.4
2019,Bulgaria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,786632.6
2020,Bulgaria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,2247239.5
2021,Bulgaria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,541353.56
2022,Bulgaria,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1401210
2012,Canada,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,216889600
2012,Canada,Rio Markers,usd_commitment,Adaptation,185727580
2012,Canada,Rio Markers,usd_commitment,Cross-cutting,337055070
2012,Canada,Rio Markers,usd_commitment,Mitigation,45039616
2013,Canada,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,176360530
2013,Canada,Rio Markers,usd_commitment,Adaptation,41976270
2013,Canada,Rio Markers,usd_commitment,Cross-cutting,186566060
2013,Canada,Rio Markers,usd_commitment,Mitigation,74010460
2014,Canada,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,151318530
2014,Canada,Rio Markers,usd_commitment,Adaptation,48609830
2014,Canada,Rio Markers,usd_commitment,Cross-cutting,81533250
2014,Canada,Rio Markers,usd_commitment,Mitigation,3261048
2015,Canada,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,155334420
2015,Canada,Rio Markers,usd_commitment,Adaptation,161609120
2015,Canada,Rio Markers,usd_commitment,Cross-cutting,111360960
2015,Canada,Rio Markers,usd_commitment,Mitigation,55332096
2016,Canada,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,265663470
2016,Canada,Rio Markers,usd_commitment,Adaptation,203159300
2016,Canada,Rio Markers,usd_commitment,Cross-cutting,299325470
2016,Canada,Rio Markers,usd_commitment,Mitigation,125983070
2017,Canada,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,173277580
2017,Canada,Rio Markers,usd_commitment,Adaptation,44682624
2017,Canada,Rio Markers,usd_commitment,Cross-cutting,324669820
2017,Canada,Rio Markers,usd_commitment,Mitigation,13120800
2018,Canada,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,177453000
2018,Canada,Rio Markers,usd_commitment,Adaptation,52938176
2018,Canada,Rio Markers,usd_commitment,Cross-cutting,561814100
2018,Canada,Rio Markers,usd_commitment,Mitigation,45459650
2019,Canada,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,339516700
2019,Canada,Rio Markers,usd_commitment,Adaptation,286950500
2019,Canada,Rio Markers,usd_commitment,Cross-cutting,248693600
2019,Canada,Rio Markers,usd_commitment,Mitigation,8139648
2020,Canada,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,252308880
2020,Canada,Rio Markers,usd_commitment,Adaptation,85163040
2020,Canada,Rio Markers,usd_commitment,Cross-cutting,65765292
2020,Canada,Rio Markers,usd_commitment,Mitigation,345140450
2021,Canada,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,243077710
2021,Canada,Rio Markers,usd_commitment,Adaptation,228188740
2021,Canada,Rio Markers,usd_commitment,Cross-cutting,400920130
2021,Canada,Rio Markers,usd_commitment,Mitigation,32160352
2022,Canada,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,727077760
2022,Canada,Rio Markers,usd_commitment,Adaptation,129946380
2022,Canada,Rio Markers,usd_commitment,Cross-cutting,241319310
2022,Canada,Rio Markers,usd_commitment,Mitigation,849110300
2019,Chinese Taipei,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,5805533.5
2020,Chinese Taipei,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,52256100
2018,Croatia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,269475.53
2019,Croatia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,997550.6
2020,Croatia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1285290
2021,Croatia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,270104.97
2022,Croatia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,328827.47
2015,Cyprus,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,54554
2018,Cyprus,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,102518
2019,Cyprus,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1121248.2
2020,Cyprus,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,933709.94
2021,Cyprus,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,804113.4
2022,Cyprus,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,893199
2012,Czechia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,651484.75
2012,Czechia,Rio Markers,usd_commitment,Adaptation,3653490.5
2012,Czechia,Rio Markers,usd_commitment,Cross-cutting,413290.8
2012,Czechia,Rio Markers,usd_commitment,Mitigation,1485851
2013,Czechia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1841813.4
2013,Czechia,Rio Markers,usd_commitment,Adaptation,3445124.5
2013,Czechia,Rio Markers,usd_commitment,Cross-cutting,343465.75
2013,Czechia,Rio Markers,usd_commitment,Mitigation,1955583.2
2014,Czechia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,5480464.5
2014,Czechia,Rio Markers,usd_commitment,Adaptation,3727758.2
2014,Czechia,Rio Markers,usd_commitment,Cross-cutting,130071.586
2014,Czechia,Rio Markers,usd_commitment,Mitigation,1526124.4
2015,Czechia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,4755788
2015,Czechia,Rio Markers,usd_commitment,Adaptation,2749399.5
2015,Czechia,Rio Markers,usd_commitment,Cross-cutting,543241
2015,Czechia,Rio Markers,usd_commitment,Mitigation,2755821.5
2016,Czechia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,4865388.5
2016,Czechia,Rio Markers,usd_commitment,Adaptation,3060660
2016,Czechia,Rio Markers,usd_commitment,Cross-cutting,446951.5
2016,Czechia,Rio Markers,usd_commitment,Mitigation,1799675
2017,Czechia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,2857810
2017,Czechia,Rio Markers,usd_commitment,Adaptation,3783084.5
2017,Czechia,Rio Markers,usd_commitment,Cross-cutting,561141.4
2017,Czechia,Rio Markers,usd_commitment,Mitigation,1559572.6
2018,Czechia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,3362143.5
2018,Czechia,Rio Markers,usd_commitment,Adaptation,4931938.5
2018,Czechia,Rio Markers,usd_commitment,Cross-cutting,856413
2018,Czechia,Rio Markers,usd_commitment,Mitigation,1741573.2
2019,Czechia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,5989769
2019,Czechia,Rio Markers,usd_commitment,Adaptation,4002232.5
2019,Czechia,Rio Markers,usd_commitment,Cross-cutting,918116.1
2019,Czechia,Rio Markers,usd_commitment,Mitigation,2432702
2020,Czechia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,7400257
2020,Czechia,Rio Markers,usd_commitment,Adaptation,3495761.8
2020,Czechia,Rio Markers,usd_commitment,Cross-cutting,1746395.2
2020,Czechia,Rio Markers,usd_commitment,Mitigation,2034715.5
2021,Czechia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,7396612
2021,Czechia,Rio Markers,usd_commitment,Adaptation,4866357
2021,Czechia,Rio Markers,usd_commitment,Cross-cutting,1606882.6
2021,Czechia,Rio Markers,usd_commitment,Mitigation,2017482.6
2022,Czechia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,7657738
2022,Czechia,Rio Markers,usd_commitment,Adaptation,3311457.2
2022,Czechia,Rio Markers,usd_commitment,Cross-cutting,1052491.2
2022,Czechia,Rio Markers,usd_commitment,Mitigation,1137421.8
2012,Denmark,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,10152313
2012,Denmark,Rio Markers,usd_commitment,Adaptation,112146670
2012,Denmark,Rio Markers,usd_commitment,Cross-cutting,210493100
2012,Denmark,Rio Markers,usd_commitment,Mitigation,39966144
2013,Denmark,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,64238364
2013,Denmark,Rio Markers,usd_commitment,Adaptation,9293376
2013,Denmark,Rio Markers,usd_commitment,Cross-cutting,332293150
2013,Denmark,Rio Markers,usd_commitment,Mitigation,35334430
2014,Denmark,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,68339370
2014,Denmark,Rio Markers,usd_commitment,Cross-cutting,362012740
2014,Denmark,Rio Markers,usd_commitment,Mitigation,111310270
2015,Denmark,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,60614536
2015,Denmark,Rio Markers,usd_commitment,Adaptation,22443600
2015,Denmark,Rio Markers,usd_commitment,Cross-cutting,155679170
2015,Denmark,Rio Markers,usd_commitment,Mitigation,41606850
2016,Denmark,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,63037540
2016,Denmark,Rio Markers,usd_commitment,Adaptation,27581408
2016,Denmark,Rio Markers,usd_commitment,Cross-cutting,55217600
2016,Denmark,Rio Markers,usd_commitment,Mitigation,47677290
2017,Denmark,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,83055430
2017,Denmark,Rio Markers,usd_commitment,Adaptation,56279790
2017,Denmark,Rio Markers,usd_commitment,Cross-cutting,100648180
2017,Denmark,Rio Markers,usd_commitment,Mitigation,42307650
2018,Denmark,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,102310960
2018,Denmark,Rio Markers,usd_commitment,Adaptation,124980810
2018,Denmark,Rio Markers,usd_commitment,Cross-cutting,111069000
2018,Denmark,Rio Markers,usd_commitment,Mitigation,61536600
2019,Denmark,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,85924140
2019,Denmark,Rio Markers,usd_commitment,Adaptation,174319220
2019,Denmark,Rio Markers,usd_commitment,Cross-cutting,188625680
2019,Denmark,Rio Markers,usd_commitment,Mitigation,186226580
2020,Denmark,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,163499170
2020,Denmark,Rio Markers,usd_commitment,Adaptation,99287360
2020,Denmark,Rio Markers,usd_commitment,Cross-cutting,99292450
2020,Denmark,Rio Markers,usd_commitment,Mitigation,170481630
2021,Denmark,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,186949950
2021,Denmark,Rio Markers,usd_commitment,Adaptation,138871800
2021,Denmark,Rio Markers,usd_commitment,Cross-cutting,102660210
2021,Denmark,Rio Markers,usd_commitment,Mitigation,240022900
2022,Denmark,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,60525336
2022,Denmark,Rio Markers,usd_commitment,Adaptation,126630910
2022,Denmark,Rio Markers,usd_commitment,Cross-cutting,165574370
2022,Denmark,Rio Markers,usd_commitment,Mitigation,239264800
2012,EU Institutions (excl. EIB),Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1344616.6
2012,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Adaptation,500396160
2012,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Cross-cutting,1218546000
2012,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Mitigation,656336400
2013,EU Institutions (excl. EIB),Imputed Multilateral Contribution,usd_commitment,Climate unspecified,113579.4
2013,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Adaptation,822473700
2013,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Cross-cutting,1136823900
2013,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Mitigation,791089400
2014,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Adaptation,424154700
2014,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Cross-cutting,822435000
2014,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Mitigation,569919800
2015,EU Institutions (excl. EIB),Imputed Multilateral Contribution,usd_commitment,Climate unspecified,436317.25
2015,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Adaptation,961040640
2015,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Cross-cutting,1496388400
2015,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Mitigation,734008600
2016,EU Institutions (excl. EIB),Imputed Multilateral Contribution,usd_commitment,Climate unspecified,783926.4
2016,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Adaptation,2303246300
2016,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Cross-cutting,1737322000
2016,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Mitigation,1838847500
2017,EU Institutions (excl. EIB),Imputed Multilateral Contribution,usd_commitment,Climate unspecified,456870.7
2017,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Adaptation,1660742400
2017,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Cross-cutting,2737799400
2017,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Mitigation,1133769700
2018,EU Institutions (excl. EIB),Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1044152
2018,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Adaptation,1934955800
2018,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Cross-cutting,2748266200
2018,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Mitigation,880919800
2019,EU Institutions (excl. EIB),Imputed Multilateral Contribution,usd_commitment,Climate unspecified,827989.06
2019,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Adaptation,2718385000
2019,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Cross-cutting,1917461800
2019,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Mitigation,958744300
2020,EU Institutions (excl. EIB),Imputed Multilateral Contribution,usd_commitment,Climate unspecified,790912
2020,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Adaptation,1201421300
2020,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Cross-cutting,2432567600
2020,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Mitigation,945036000
2021,EU Institutions (excl. EIB),Imputed Multilateral Contribution,usd_commitment,Climate unspecified,3464302.2
2021,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Adaptation,404151040
2021,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Cross-cutting,3449378300
2021,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Mitigation,1866820600
2022,EU Institutions (excl. EIB),Imputed Multilateral Contribution,usd_commitment,Climate unspecified,27295.957
2022,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Adaptation,1443723800
2022,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Cross-cutting,4706201600
2022,EU Institutions (excl. EIB),Rio Markers,usd_commitment,Mitigation,1688817200
2013,Estonia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,334193.56
2014,Estonia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,752315.94
2015,Estonia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1362709.4
2016,Estonia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,779784
2017,Estonia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,394707.3
2018,Estonia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,510651.1
2019,Estonia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,571910.56
2020,Estonia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,657451.2
2020,Estonia,Rio Markers,usd_commitment,Cross-cutting,303133.9
2021,Estonia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,1434082.6
2021,Estonia,Rio Markers,usd_commitment,Cross-cutting,1356433.2
2022,Estonia,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,2228097.5
2022,Estonia,Rio Markers,usd_commitment,Adaptation,193500.89
2012,Finland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,7492881.5
2012,Finland,Rio Markers,usd_commitment,Adaptation,75441360
2012,Finland,Rio Markers,usd_commitment,Cross-cutting,46712710
2012,Finland,Rio Markers,usd_commitment,Mitigation,14442296
2013,Finland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,59387496
2013,Finland,Rio Markers,usd_commitment,Adaptation,25814584
2013,Finland,Rio Markers,usd_commitment,Cross-cutting,46090816
2013,Finland,Rio Markers,usd_commitment,Mitigation,38408250
2014,Finland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,89161224
2014,Finland,Rio Markers,usd_commitment,Adaptation,47964790
2014,Finland,Rio Markers,usd_commitment,Cross-cutting,18216284
2014,Finland,Rio Markers,usd_commitment,Mitigation,61110980
2015,Finland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,91678770
2015,Finland,Rio Markers,usd_commitment,Adaptation,24638692
2015,Finland,Rio Markers,usd_commitment,Cross-cutting,32188368
2015,Finland,Rio Markers,usd_commitment,Mitigation,15034048
2016,Finland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,24217046
2016,Finland,Rio Markers,usd_commitment,Adaptation,18014032
2016,Finland,Rio Markers,usd_commitment,Cross-cutting,25812656
2016,Finland,Rio Markers,usd_commitment,Mitigation,35472056
2017,Finland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,37905984
2017,Finland,Rio Markers,usd_commitment,Adaptation,684560
2017,Finland,Rio Markers,usd_commitment,Cross-cutting,145499950
2017,Finland,Rio Markers,usd_commitment,Mitigation,36923600
2018,Finland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,50953444
2018,Finland,Rio Markers,usd_commitment,Adaptation,33098316
2018,Finland,Rio Markers,usd_commitment,Cross-cutting,35954172
2018,Finland,Rio Markers,usd_commitment,Mitigation,55143788
2019,Finland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,90455896
2019,Finland,Rio Markers,usd_commitment,Adaptation,91537336
2019,Finland,Rio Markers,usd_commitment,Cross-cutting,15011375
2019,Finland,Rio Markers,usd_commitment,Mitigation,87167280
2020,Finland,Imputed Multilateral Contribution,usd_commitment,Climate unspecified,94466290
